opentime,open,high,low,close,volume
1514764800,13715.65,13818.55,12750.0,13380.0,8609.915844
1514851200,13382.16,15473.49,12890.02,14675.11,20078.092110999998
1514937600,14690.0,15307.56,14150.0,14919.51,15905.667639
1515024000,14919.51,15280.0,13918.04,15059.54,21329.649574
1515110400,15059.56,17176.24,14600.0,16960.39,23251.491125000004
1515196800,16960.39,17143.13,16011.21,17069.79,18571.457507999996
1515283200,17069.79,17099.96,15610.0,16150.03,12493.125558
1515369600,16218.85,16322.3,12812.0,14902.54,26600.609912
1515456000,14902.54,15500.0,14011.05,14400.0,14315.004253
1515542400,14401.0,14955.66,13131.31,14907.09,17411.001655000007
1515628800,14940.0,14968.68,11400.0,13238.78,33554.723751
1515715200,13238.76,14109.78,12500.0,13740.01,16417.162136999996
1515801600,13749.95,14580.0,13706.15,14210.0,12221.508527999998
1515888000,14210.0,14339.5,12569.2,13474.99,17017.894329000002
1515974400,13477.98,14249.99,13147.79,13539.93,14652.094705000001
1516060800,13500.0,13542.93,9035.0,10900.0,63401.169175
1516147200,10899.99,11680.99,9037.94,10988.79,72331.79664600002
1516233600,10972.59,11878.82,10435.33,10961.97,48464.43493699998
1516320000,10960.0,11795.0,10360.0,11474.98,34129.375421000004
1516406400,11474.98,13099.0,11412.45,12799.94,28768.857827
1516492800,12799.8,12799.8,10965.0,11530.0,41379.773426
1516579200,11530.0,11926.35,9900.24,10760.05,43752.606791000006
1516665600,10760.05,11399.0,9905.0,10799.18,37473.922551999996
1516752000,10799.14,11570.48,10500.0,11349.99,27158.587762
1516838400,11349.96,11794.05,10950.21,11175.27,20839.954183
1516924800,11184.7,11643.0,10311.15,11089.0,33056.87196
1517011200,11089.0,11650.0,10842.69,11491.0,18860.768345
1517097600,11499.98,12244.0,11408.0,11879.95,16887.339524000003
1517184000,11879.95,11975.02,11139.55,11251.0,14170.377538
1517270400,11250.11,11308.42,9900.0,10237.51,25554.372946
1517356800,10230.0,10425.85,9700.0,10285.1,18015.956805
1517443200,10285.1,10335.0,8750.99,9224.52,33564.764311
1517529600,9224.52,9250.0,8010.02,8873.03,49971.62697500001
1517616000,8873.03,9473.01,8229.0,9199.96,28725.000734999998
1517702400,9199.96,9368.0,7930.0,8184.81,32014.308449
1517788800,8179.99,8382.8,6625.0,6939.99,63402.31448199999
1517875200,6939.63,7878.0,6000.01,7652.14,100201.500307
1517961600,7655.02,8476.0,7150.01,7599.0,60777.68408600001
1518048000,7599.0,7844.0,7572.09,7784.02,1521.5373179999995
1518134400,7789.9,8738.0,7789.9,8683.92,20631.386243
1518220800,8683.92,9065.78,8120.0,8533.98,49379.85313500001
1518307200,8533.99,8549.0,7726.53,8063.88,45025.18795199999
1518393600,8063.82,8989.0,8053.0,8903.0,41987.85049
1518480000,8903.0,8950.0,8351.0,8539.9,35454.972956000005
1518566400,8535.17,9489.6,8533.0,9449.99,40811.95286700001
1518652800,9449.98,10219.5,9301.5,10000.09,52427.596715
1518739200,10000.89,10323.37,9666.0,10159.98,38161.205974000004
1518825600,10156.07,11075.07,10050.0,11039.55,41882.108406999985
1518912000,11039.55,11274.0,10080.0,10383.43,61137.380728000004
1518998400,10375.01,11250.0,10270.33,11153.0,40831.41713100002
1519084800,11147.11,11786.01,11100.59,11200.99,48153.354288
1519171200,11195.07,11304.03,10200.0,10437.6,68113.818754
1519257600,10439.02,10933.44,9679.0,9811.04,67060.166483
1519344000,9815.55,10435.0,9570.19,10131.04,57202.70237
1519430400,10131.04,10496.97,9352.0,9694.51,40888.156298999995
1519516800,9694.51,9847.0,9274.8,9590.0,28373.517586
1519603200,9590.0,10444.32,9350.0,10324.0,34878.292755999995
1519689600,10321.0,10870.0,10121.0,10569.04,30705.385123
